Order,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Popularity,Artist_Separation,Random,Source_HTML,Processed_Date,Spotify_Track_ID,Spotify_URI,Spotify_Track_Name,Spotify_Artists,Spotify_Album,Spotify_Release_Date,Spotify_Popularity,Preview_URL,Spotify_URL,Match_Confidence
26,Bling-Bang-Bang-Born,Creepy Nuts,2024-01-07,157,82,85,-7,75,2:48,8,75,30,7395,Sort Your Music.html,2025-10-04 23:09:58,0kdqcbwei4MDWFEX5f33yG,spotify:track:0kdqcbwei4MDWFEX5f33yG,Bling-Bang-Bang-Born,Creepy Nuts,Bling-Bang-Bang-Born,2024-01-07,75,,https://open.spotify.com/track/0kdqcbwei4MDWFEX5f33yG,high
27,doppelgänger,Creepy Nuts,2025-01-24,159,97,81,-6,80,2:47,3,56,59,3582,Sort Your Music.html,2025-10-04 23:09:58,7FgkqIH50E6masvuz4EOPy,spotify:track:7FgkqIH50E6masvuz4EOPy,doppelgänger,Creepy Nuts,doppelgänger,2025-01-24,56,,https://open.spotify.com/track/7FgkqIH50E6masvuz4EOPy,high
28,training wheels,Madelline,2025-01-10,98,48,72,-7,91,3:31,22,39,13,5173,Sort Your Music.html,2025-10-04 23:09:58,15JC7KI98dZxwWCfz1LiH7,spotify:track:15JC7KI98dZxwWCfz1LiH7,training wheels,Madelline,training wheels,2025-01-10,39,,https://open.spotify.com/track/15JC7KI98dZxwWCfz1LiH7,high
29,"The Chain - From The Prime Video Original Series, My Lady Jane",CHINCHILLA,2024-06-14,75,55,55,-6,42,3:45,2,45,5,9356,Sort Your Music.html,2025-10-04 23:09:58,328yyFDPgpzUXVq3v2YBld,spotify:track:328yyFDPgpzUXVq3v2YBld,"The Chain - From The Prime Video Original Series, My Lady Jane",CHINCHILLA,"The Chain (From The Prime Video Original Series, My Lady Jane)",2024-06-14,45,,https://open.spotify.com/track/328yyFDPgpzUXVq3v2YBld,high
30,Wildberry Lillet,Nina Chuba,2023-02-24,140,50,89,-7,62,2:12,6,64,14,3611,Sort Your Music.html,2025-10-04 23:09:58,6yeZM8gyykjaf8w0GqRfK4,spotify:track:6yeZM8gyykjaf8w0GqRfK4,Wildberry Lillet,Nina Chuba,Wildberry Lillet,2022-08-12,61,,https://open.spotify.com/track/6yeZM8gyykjaf8w0GqRfK4,high
31,Oh No!,Gabi Sklar,2024-07-23,150,67,66,-7,53,2:55,4,33,28,6196,Sort Your Music.html,2025-10-04 23:09:58,4kClzMyYm3f8gRkjBsGh0s,spotify:track:4kClzMyYm3f8gRkjBsGh0s,Oh No!,Gabi Sklar,America's Most Wanted,2024-07-23,33,,https://open.spotify.com/track/4kClzMyYm3f8gRkjBsGh0s,high
32,AMERICAN HORROR SHOW,Snow Wife,2023-09-22,162,76,63,-5,30,2:29,4,61,31,5666,Sort Your Music.html,2025-10-04 23:09:58,38RLObegC9ggpKPRVQDc1g,spotify:track:38RLObegC9ggpKPRVQDc1g,AMERICAN HORROR SHOW,Snow Wife,AMERICAN HORROR SHOW,2023-06-23,61,,https://open.spotify.com/track/38RLObegC9ggpKPRVQDc1g,high
33,God Loves You,Stela Cole,2025-01-10,166,87,50,-5,77,2:39,6,22,15,8640,Sort Your Music.html,2025-10-04 23:09:58,2tejt19cU1optTshFuIv7M,spotify:track:2tejt19cU1optTshFuIv7M,God Loves You,Stela Cole,I Die Where You Begin,2025-04-18,31,,https://open.spotify.com/track/2tejt19cU1optTshFuIv7M,high
34,Safety Net,Bea and her Business,2024-09-13,128,79,77,-4,84,3:24,31,59,32,8217,Sort Your Music.html,2025-10-04 23:09:58,78VpLcR9t7mSZGOBEsYOfp,spotify:track:78VpLcR9t7mSZGOBEsYOfp,Safety Net,Bea and her Business,Safety Net,2024-09-13,59,,https://open.spotify.com/track/78VpLcR9t7mSZGOBEsYOfp,high
37,WOKE UP,XG,2024-05-21,147,63,88,-6,46,3:08,2,71,35,7479,Sort Your Music.html,2025-10-04 23:09:58,4keuUM29CtIWgsPRzRhXoW,spotify:track:4keuUM29CtIWgsPRzRhXoW,WOKE UP,XG,WOKE UP,2024-05-21,71,,https://open.spotify.com/track/4keuUM29CtIWgsPRzRhXoW,high
39,エマニエル - Emmanuelle,Creepy Nuts,2025-02-05,130,74,79,-7,83,3:02,35,49,88,5687,Sort Your Music.html,2025-10-04 23:09:58,68xiHMx6Wx1sjbRnfsIyWF,spotify:track:68xiHMx6Wx1sjbRnfsIyWF,エマニエル - Emmanuelle,Creepy Nuts,LEGION,2025-02-05,49,,https://open.spotify.com/track/68xiHMx6Wx1sjbRnfsIyWF,high
40,Nothing Gets Better Than This,Devault,2025-02-28,135,94,72,-4,32,3:24,7,44,37,3843,Sort Your Music.html,2025-10-04 23:09:58,7ys3QUPW0v0v2TSUFjLEwQ,spotify:track:7ys3QUPW0v0v2TSUFjLEwQ,Nothing Gets Better Than This,"Devault, Lilyisthatyou",Nothing Gets Better Than This,2025-02-28,44,,https://open.spotify.com/track/7ys3QUPW0v0v2TSUFjLEwQ,high
41,DUMB,Noga Erez,2024-09-20,93,40,92,-7,69,2:17,10,54,39,7075,Sort Your Music.html,2025-10-04 23:09:58,2Pul6SaLL8e0sQhJDBVOr1,spotify:track:2Pul6SaLL8e0sQhJDBVOr1,DUMB,Noga Erez,THE VANDALIST,2024-09-20,54,,https://open.spotify.com/track/2Pul6SaLL8e0sQhJDBVOr1,high
42,Better Than Me,Lily Moore,2019-11-26,168,58,60,-8,50,3:46,56,33,40,7940,Sort Your Music.html,2025-10-04 23:09:58,1t4KSsNCzrOT06Jm6aHuMA,spotify:track:1t4KSsNCzrOT06Jm6aHuMA,Better Than Me,Lily Moore,More Moore Mixtape,2019-11-26,33,,https://open.spotify.com/track/1t4KSsNCzrOT06Jm6aHuMA,high
44,Lemon Tree,secs on the beach,2025-01-03,174,71,58,-5,87,1:55,12,45,42,9014,Sort Your Music.html,2025-10-04 23:09:58,4g7t4gur0b65QHYjNmq4J5,spotify:track:4g7t4gur0b65QHYjNmq4J5,Lemon Tree,secs on the beach,Lemon Tree,2025-01-03,45,,https://open.spotify.com/track/4g7t4gur0b65QHYjNmq4J5,high
45,check,bbno$,2025-02-10,134,91,74,-3,96,2:02,1,75,6,6759,Sort Your Music.html,2025-10-04 23:09:58,02b35qI48b1RWhsFNKCb1Y,spotify:track:02b35qI48b1RWhsFNKCb1Y,check,bbno$,check,2025-02-10,75,,https://open.spotify.com/track/02b35qI48b1RWhsFNKCb1Y,high
